day,p05,p50,p95,mean_path
234,881703.4648092045,1165662.987458665,1530577.3780216924,1181470.4645789342
235,881996.0697116222,1167170.2095320341,1537106.7183890683,1182496.1100785336
236,884068.4820510079,1168280.567058661,1535432.0941382574,1183204.1668503617
237,882684.8917724963,1168458.3929432314,1539255.6103921528,1184005.2348319634
238,882486.8252311497,1169857.586446914,1540398.2851552262,1184871.5319803592
239,882285.5920600956,1169098.3387023835,1544051.130556934,1185890.4365013812
240,885495.3414841059,1170321.6841647723,1545537.0519183085,1186743.9857559018
241,884326.4954499891,1170270.180852301,1545517.979620494,1187545.6223406456
242,883508.6593781176,1173028.7585954918,1550611.305317744,1188233.6799177136
243,882737.5696971318,1172972.3289440987,1552382.3363467557,1189279.2300334072
244,883774.3003337561,1174289.4489297576,1555221.325322713,1190221.2113404304
245,884743.4970533685,1175049.9545630403,1555835.5666196884,1191011.3489995894
246,884351.9242986172,1176137.7330159468,1557215.6074034753,1192099.361829683
247,884289.6898772083,1176670.0632813072,1558236.1618727595,1193134.7652553732
248,885074.8330185184,1176980.9052067774,1560847.3001802892,1193987.0021145563
249,884657.991437417,1178706.462414782,1561440.604679156,1194853.9070454354
250,884980.144374179,1178675.9969778846,1564959.5137274687,1196062.5520155518
251,884175.9822409551,1178970.2278457591,1565243.3116548755,1196769.893635895
252,885124.6942374612,1179762.698077296,1572486.2817896495,1197677.26244462
