Date,AAPL,AMZN,CAT,JNJ,JPM,MSFT,NEE,NVDA,PG,XOM,^GSPC
2021-12-16,150185800,60876000,2856800,8998600,19542800,35034800,7623300,707366000,10852900,21187800,4829500000
2021-12-17,195432700,85542000,6079600,16726200,28082000,47750300,15335400,713758000,24349400,44338100,7987090000
2021-12-20,107499100,57372000,3605100,7954500,15148000,28326500,10167700,461847000,9202600,21819300,4635700000
2021-12-21,91185900,55956000,2303400,7954200,11291300,24740600,6287900,524385000,6946000,19798900,4072430000
2021-12-22,92135300,55036000,3558700,4178200,7273000,24831500,4142900,395184000,6626300,14058300,3319610000
2021-12-23,68356600,36788000,2669600,3501500,8055200,19617800,5845600,343022000,5640900,13543300,2913040000
2021-12-27,74919600,58688000,1711200,3704800,6188100,19947000,5410300,403686000,4548600,12593700,2770290000
2021-12-28,79144300,54638000,1393000,3187000,6342300,15661500,3096400,420591000,5929400,12781000,2707920000
2021-12-29,62348900,35754000,1334900,3662000,6398900,15042000,2945400,343139000,5346100,12733600,2963310000
2021-12-30,59773000,37584000,1465900,4231800,6948200,15994500,3716300,308864000,5911500,11940300,3124950000
2021-12-31,64062300,47830000,1374500,4409500,5805900,18000800,4811800,266530000,5327000,14072000,2677820000
2022-01-03,104487900,63520000,2055600,6012200,13120900,28865100,7864400,391547000,9317300,24282400,3831020000
2022-01-04,99310400,70726000,5242300,6748400,20195800,32674300,8379100,527154000,9253800,38584000,4683170000
2022-01-05,94537600,64302000,5378200,7016100,17539400,40054300,6722300,498064000,9330200,34033300,4887960000
2022-01-06,96904000,51958000,3913200,7301600,14047500,39646100,12658600,454186000,7556000,30668500,4295280000
2022-01-07,86709100,46606000,3673400,6986000,13913300,32720000,13359300,409939000,6098500,23985400,4181510000
2022-01-10,106765600,87798000,3734900,7698400,12922500,44289500,11378700,594681000,8055000,22760300,4511810000
2022-01-11,76138300,62806000,2944300,8341100,11854100,29386800,8395900,404089000,11957900,32936100,4101590000
2022-01-12,74805200,50030000,2506900,8116200,12568000,34372200,6484000,383413000,7127500,23045100,4048220000
2022-01-13,84505800,52188000,5002300,6159400,13623400,45366000,7203100,540171000,6551000,21043200,4251730000
2022-01-14,80440800,45974000,3970600,5847700,40158400,39846400,11084300,395832000,10708000,23012900,4338490000
2022-01-18,90956700,67292000,5411900,7815600,32324800,42333200,10848100,424270000,10988400,32841200,4748700000
2022-01-19,94815000,53242000,4991700,5926500,22380000,45933900,9673900,488315000,14088300,26431600,4465740000
2022-01-20,91420500,71974000,3545600,6011300,14860800,35380700,12028900,435181000,10799100,26774600,4640870000
2022-01-21,122848900,163972000,3754700,10550300,20705400,57984400,12809100,718958000,10900400,35995200,5589100000
2022-01-24,162294600,155624000,5107300,14054600,28471400,85731500,14689800,913982000,14838100,41507000,6928110000
2022-01-25,115798400,90824000,4554300,14081200,18915900,72848600,22925000,664616000,9369600,39278400,5145050000
2022-01-26,108275300,95602000,3558500,9963200,20709100,90428900,24721700,755959000,10707100,35252400,5570640000
